 0 188 40
 1 188 40
 2 188 40
 3 188 30
 4 188 30
 5 188 20
 6 188 20
 7 188 20
 8 188 20
 9 188 20
10 188 20
11 188 20
12 188 20
13 150 20
14 100 20
15 100 20
16 100 10
17  50 10
18  50 10
19  30 10
20  30 10
21  30 10
22  30 10
23  30 10
24  30 10
25  30 10
26  30 10
27  40 10
28  40 10
29  40 10
30  40 10
31  30 10
32  30 10
33  20 10
34  20 10
35  20 10
36  20 10
37  20 10
38  20 10
39  20 10
40  20 10
41  20 10
42  20 10
43  20 10
44  20 10
45  20 10
46  20 10
47  20 10
48  20 10
49  20 10
50  20 10
51  10 10
52  10 10
53  10 10
54  10 10
55  10 10
56  10 10
57  10 10
58  10 10
59  10 10
60  10 10
61  10 10
62  10 10
63  10 10
64  10 10
65  10 10
66  10 10
67  10 10
68  10 10
69  10 10
70  10 10
71  10 10
72  10 10
73  10 10
74  10 10




